ID,Link,Address,Sale Type,Sale Date,Price,Page Number
86e23b3a-6913-4c62-9c83-b914033ed966,/adresse/saven-b-5-0-4-2630-taastrup-01696692___5_st___4,,Fri handel,09-10-2005,599.000,10
86e23b3a-6913-4c62-9c83-b914033ed966,/adresse/saven-b-5-0-4-2630-taastrup-01696692___5_st___4,,Fri handel,24-06-1999,270.000,10
2ae84c0c-82bf-4002-b6bb-c9687107794f,/adresse/saven-b-1-2-4-2630-taastrup-01696692___1__2___4,,"Saven B 1, 2. 4.2630 Taastrup",Tvangsauktion,28-06-2011,10
2ae84c0c-82bf-4002-b6bb-c9687107794f,/adresse/saven-b-1-2-4-2630-taastrup-01696692___1__2___4,,Fri handel,13-12-2004,830.000,10
2ae84c0c-82bf-4002-b6bb-c9687107794f,/adresse/saven-b-1-2-4-2630-taastrup-01696692___1__2___4,,Fri handel,29-01-1998,432.000,10
e9025cd0-64a3-4491-8ff5-2df4bf9a99b9,/adresse/saven-a-2-2-4-2630-taastrup-01696690___2__2___4,,"Saven A 2, 2. 4.2630 Taastrup",Tvangsauktion,14-07-2011,10
e9025cd0-64a3-4491-8ff5-2df4bf9a99b9,/adresse/saven-a-2-2-4-2630-taastrup-01696690___2__2___4,,Fri handel,22-04-2007,1.249.000,10
e9025cd0-64a3-4491-8ff5-2df4bf9a99b9,/adresse/saven-a-2-2-4-2630-taastrup-01696690___2__2___4,,Fri handel,02-08-2001,725.000,10
794298d9-e184-4533-929e-edc688d00ab0,/adresse/saven-a-2-2-1-2630-taastrup-01696690___2__2___1,,"Saven A 2, 2. 1.2630 Taastrup",Tvangsauktion,04-03-2013,10
794298d9-e184-4533-929e-edc688d00ab0,/adresse/saven-a-2-2-1-2630-taastrup-01696690___2__2___1,,Fri handel,24-11-1997,419.000,10
d070f8b6-584f-4359-82a5-6e415af013cc,/adresse/saksen-d-2-0-1-2630-taastrup-01696642___2_st___1,,"Saksen D 2, st. 1.2630 Taastrup",Tvangsauktion,21-02-2017,10
d070f8b6-584f-4359-82a5-6e415af013cc,/adresse/saksen-d-2-0-1-2630-taastrup-01696642___2_st___1,,Fri handel,13-07-1992,480.000,10
d070f8b6-584f-4359-82a5-6e415af013cc,/adresse/saksen-d-2-0-1-2630-taastrup-01696642___2_st___1,,Fri handel,18-02-1992,480.000,10
2e06e857-c26b-418d-853d-7a49ea408e4d,/adresse/saksen-c-4-2-4-2630-taastrup-01696640___4__2___4,,"Saksen C 4, 2. 4.2630 Taastrup",Tvangsauktion,12-06-2013,10
2e06e857-c26b-418d-853d-7a49ea408e4d,/adresse/saksen-c-4-2-4-2630-taastrup-01696640___4__2___4,,Fri handel,29-04-2010,650.000,10
4e42c52a-c3f3-40ea-af8a-a1a9d0ef2446,/adresse/roennevangshusene-57-2-tv-2630-taastrup-01696605__57__2__tv,,"Rønnevangshusene 57, 2. tv.2630 Taastrup",Tvangsauktion,27-08-2012,10
4e42c52a-c3f3-40ea-af8a-a1a9d0ef2446,/adresse/roennevangshusene-57-2-tv-2630-taastrup-01696605__57__2__tv,,Fri handel,29-09-2005,1.425.000,10
4e42c52a-c3f3-40ea-af8a-a1a9d0ef2446,/adresse/roennevangshusene-57-2-tv-2630-taastrup-01696605__57__2__tv,,Fri handel,04-06-2001,970.651,10
89ae510f-0c42-4429-a752-989afdac9884,/adresse/roedvig-alle-6a-2650-hvidovre-01677019__6a_______,,Rødvig Alle 6A2650 Hvidovre,Tvangsauktion,23-09-2013,10
89ae510f-0c42-4429-a752-989afdac9884,/adresse/roedvig-alle-6a-2650-hvidovre-01677019__6a_______,,Fri handel,28-03-2007,2.411.132,10
5f877087-f9ac-4186-8a93-74a3c340ae85,/adresse/roedovrevej-321-1-th-2610-roedovre-01750705_321__1__th,,"Rødovrevej 321, 1. th.2610 Rødovre",Tvangsauktion,22-05-2012,10
5f877087-f9ac-4186-8a93-74a3c340ae85,/adresse/roedovrevej-321-1-th-2610-roedovre-01750705_321__1__th,,Fri handel,04-02-2009,1.250.000,10
5f877087-f9ac-4186-8a93-74a3c340ae85,/adresse/roedovrevej-321-1-th-2610-roedovre-01750705_321__1__th,,Fri handel,13-07-1993,425.480,10
490bf7d7-60e8-41b3-8f5d-52a15d91660e,/adresse/roedovrevej-319-1-mf-2610-roedovre-01750705_319__1__mf,,"Rødovrevej 319, 1. mf.2610 Rødovre",Tvangsauktion,11-09-2007,10
490bf7d7-60e8-41b3-8f5d-52a15d91660e,/adresse/roedovrevej-319-1-mf-2610-roedovre-01750705_319__1__mf,,Fri handel,04-10-2006,1.300.000,10
490bf7d7-60e8-41b3-8f5d-52a15d91660e,/adresse/roedovrevej-319-1-mf-2610-roedovre-01750705_319__1__mf,,Fri handel,27-04-2004,738.283,10
70f0d736-6ab2-44a7-854e-89f9267cb01a,/adresse/roedovrevej-311-1-mf-2610-roedovre-01750705_311__1__mf,,"Rødovrevej 311, 1. mf.2610 Rødovre",Tvangsauktion,25-04-2012,10
70f0d736-6ab2-44a7-854e-89f9267cb01a,/adresse/roedovrevej-311-1-mf-2610-roedovre-01750705_311__1__mf,,Familie handel,22-12-2005,578.000,10
70f0d736-6ab2-44a7-854e-89f9267cb01a,/adresse/roedovrevej-311-1-mf-2610-roedovre-01750705_311__1__mf,,Fri handel,02-10-1998,315.000,10
be9bc88d-4dee-4e94-a314-1cb032208043,/adresse/roedovrevej-202-2-mf-2610-roedovre-01750705_202__2__mf,,"Rødovrevej 202, 2. mf.2610 Rødovre",Tvangsauktion,17-05-2010,10
be9bc88d-4dee-4e94-a314-1cb032208043,/adresse/roedovrevej-202-2-mf-2610-roedovre-01750705_202__2__mf,,Fri handel,05-08-2004,775.000,10
be9bc88d-4dee-4e94-a314-1cb032208043,/adresse/roedovrevej-202-2-mf-2610-roedovre-01750705_202__2__mf,,Fri handel,24-03-2003,750.262,10
d6ca7f40-728c-4ee6-8fc1-5410a9d938b0,/adresse/roedovre-parkvej-333-1-2610-roedovre-01750702_333__1____,,"Rødovre Parkvej 333, 1.2610 Rødovre",Tvangsauktion,04-04-2011,10
d6ca7f40-728c-4ee6-8fc1-5410a9d938b0,/adresse/roedovre-parkvej-333-1-2610-roedovre-01750702_333__1____,,Fri handel,14-11-2005,980.000,10
d6ca7f40-728c-4ee6-8fc1-5410a9d938b0,/adresse/roedovre-parkvej-333-1-2610-roedovre-01750702_333__1____,,Fri handel,20-06-1996,282.000,10
eb049f73-844f-4074-8f2d-c0b9e260a92b,/adresse/roedovre-parkvej-315-2-2610-roedovre-01750702_315__2____,,"Rødovre Parkvej 315, 2.2610 Rødovre",Tvangsauktion,24-10-2011,10
eb049f73-844f-4074-8f2d-c0b9e260a92b,/adresse/roedovre-parkvej-315-2-2610-roedovre-01750702_315__2____,,Fri handel,26-05-2006,1.166.482,10
eb049f73-844f-4074-8f2d-c0b9e260a92b,/adresse/roedovre-parkvej-315-2-2610-roedovre-01750702_315__2____,,Fri handel,31-08-1997,247.300,10
bb9b88f4-a438-4257-957f-b346938723f9,/adresse/roedovre-parkvej-229-1-2610-roedovre-01750702_229__1____,,"Rødovre Parkvej 229, 1.2610 Rødovre",Tvangsauktion,22-02-2016,10
bb9b88f4-a438-4257-957f-b346938723f9,/adresse/roedovre-parkvej-229-1-2610-roedovre-01750702_229__1____,,Fri handel,13-03-2002,861.551,10
bb9b88f4-a438-4257-957f-b346938723f9,/adresse/roedovre-parkvej-229-1-2610-roedovre-01750702_229__1____,,Tvangsauktion,15-09-1998,362.000,10
ef2618a7-7480-4451-84e6-af1381e0441c,/adresse/roedovre-parkvej-183-0-th-2610-roedovre-01750702_183_st__th,,"Rødovre Parkvej 183, st. th.2610 Rødovre",Tvangsauktion,29-12-2004,10
ef2618a7-7480-4451-84e6-af1381e0441c,/adresse/roedovre-parkvej-183-0-th-2610-roedovre-01750702_183_st__th,,Fri handel,29-02-2000,815.000,10
ef2618a7-7480-4451-84e6-af1381e0441c,/adresse/roedovre-parkvej-183-0-th-2610-roedovre-01750702_183_st__th,,Fri handel,06-04-1998,556.962,10
398dc1bb-f397-4423-8f9f-07332e477b57,/adresse/roedovre-parkvej-179-0-mf-2610-roedovre-01750702_179_st__mf,,"Rødovre Parkvej 179, st. mf.2610 Rødovre",Tvangsauktion,07-06-2011,10
398dc1bb-f397-4423-8f9f-07332e477b57,/adresse/roedovre-parkvej-179-0-mf-2610-roedovre-01750702_179_st__mf,,Fri handel,21-02-1999,340.000,10
398dc1bb-f397-4423-8f9f-07332e477b57,/adresse/roedovre-parkvej-179-0-mf-2610-roedovre-01750702_179_st__mf,,Fri handel,30-03-1997,150.000,10
dc80da74-7f4d-4f99-a821-86c1491a8cd5,/adresse/roedager-alle-71-1-1-2610-roedovre-01750699__71__1___1,,"Rødager Alle 71, 1. 1.2610 Rødovre",Tvangsauktion,10-01-2005,11
dc80da74-7f4d-4f99-a821-86c1491a8cd5,/adresse/roedager-alle-71-1-1-2610-roedovre-01750699__71__1___1,,Fri handel,14-01-2001,395.000,11
dc80da74-7f4d-4f99-a821-86c1491a8cd5,/adresse/roedager-alle-71-1-1-2610-roedovre-01750699__71__1___1,,Fri handel,05-10-1996,202.000,11
94fa6b87-6113-4f27-9cc4-a173cbd61ff2,/adresse/roedager-alle-65-2-mf-2610-roedovre-01750699__65__2__mf,,"Rødager Alle 65, 2. mf.2610 Rødovre",Tvangsauktion,07-04-2015,11
94fa6b87-6113-4f27-9cc4-a173cbd61ff2,/adresse/roedager-alle-65-2-mf-2610-roedovre-01750699__65__2__mf,,Fri handel,25-05-2007,790.000,11
94fa6b87-6113-4f27-9cc4-a173cbd61ff2,/adresse/roedager-alle-65-2-mf-2610-roedovre-01750699__65__2__mf,,Fri handel,09-06-1995,231.400,11
