Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Total Sales,City,Floor_Count,Heating_Type,Link,Living_Area,Roof_Type,Rooms,URL,Wall_Material,Weighted_Area
skovbrynet-61-2880-bagsvaerd-01590757__61_______,Skovbrynet 61,2880,Villa,Tvangsauktion,18-02-2019,4423000.0,1,Bagsværd,1.0,Centralvarme med én fyringsenhed,/adresse/skovbrynet-61-2880-bagsvaerd-01590757__61_______,169.0,Metal,5.0,https://www.boligsiden.dk/adresse/skovbrynet-61-2880-bagsvaerd-01590757__61_______,Betonelementer,183
jernbane-alle-15b-2630-taastrup-01693546_15b_______,Jernbane Alle 15B,2630,Villa,Tvangsauktion,21-01-2019,2895000.0,3,,,,,,,,,,
jernbane-alle-15b-2630-taastrup-01693546_15b_______,Jernbane Alle 15B,2630,Villa,Tvangsauktion,21-01-2019,2895000.0,3,,,,,,,,,,
fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,"Fuglegårdsvænget 90, 1. th.",2820,Ejerlejlighed,Tvangsauktion,19-09-2018,1257500.0,3,Gentofte,1,Elvarme,/adresse/fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,51.0,Tegl,2.0,https://www.boligsiden.dk/adresse/fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,Mursten,Ikke oplyst
lilliendalsvej-18-2600-glostrup-01610298__18_______,Lilliendalsvej 18,2600,Rækkehus,Tvangsauktion,29-08-2018,2275000.0,1,Glostrup,1.0,Centralvarme med én fyringsenhed,/adresse/lilliendalsvej-18-2600-glostrup-01610298__18_______,171.0,Betontagsten,5.0,https://www.boligsiden.dk/adresse/lilliendalsvej-18-2600-glostrup-01610298__18_______,Mursten,168.2
saven-c-4-0-2-2630-taastrup-01696694___4_st___2,"Saven C 4, st. 2.",2630,Ejerlejlighed,Tvangsauktion,31-07-2018,769000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,36.0,Tagpap med lille hældning,1.0,https://www.boligsiden.dk/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,Betonelementer,Ikke oplyst
hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,"Hovedvejen 60A, 1. tv.",2600,Ejerlejlighed,Tvangsauktion,18-07-2018,1395000.0,3,Glostrup,1,Elvarme,/adresse/hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,51.0,Fibercement herunder asbest,2.0,https://www.boligsiden.dk/adresse/hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,Mursten,Ikke oplyst
hoejsgaards-alle-37-2900-hellerup-01570386__37_______,Højsgårds Alle 37,2900,Villa,Tvangsauktion,13-06-2018,4183589.0,1,Hellerup,1.0,Fjernvarme/blokvarme,/adresse/hoejsgaards-alle-37-2900-hellerup-01570386__37_______,141.0,Tegl,6.0,https://www.boligsiden.dk/adresse/hoejsgaards-alle-37-2900-hellerup-01570386__37_______,Mursten,183.45
agerlunden-34-2660-broendby-strand-01530002__34_______,Agerlunden 34,2660,Villa,Tvangsauktion,29-05-2018,3995000.0,2,Brøndby Strand,1.0,Fjernvarme/blokvarme,/adresse/agerlunden-34-2660-broendby-strand-01530002__34_______,168.0,Tegl,5.0,https://www.boligsiden.dk/adresse/agerlunden-34-2660-broendby-strand-01530002__34_______,Mursten,168
fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,2640,Villa,Tvangsauktion,01-05-2018,1780000.0,3,Hedehusene,1.0,Centralvarme med én fyringsenhed,/adresse/fagerbo-57-2640-hedehusene-01691597__57_______,109.0,Fibercement herunder asbest,4.0,https://www.boligsiden.dk/adresse/fagerbo-57-2640-hedehusene-01691597__57_______,Mursten,148
