Property_ID,Property Type,Sale Type,Sale Date,Raw Sale Type,Raw Sale Date,Raw Price,Total Sales,Address,City,floor_count,Heating_Type,Link,Living_Area,Postal_Code,Roof_Type,Rooms,Source_Site,URL,Wall_Material,Weighted_Area
lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Ejerlejlighed,Family Sale,17-08-2016,Familie handel,17-08-2016,1.125.000,3,"Lauggårds Alle 14, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,59.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Mursten,Ikke oplyst
jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,3.400.000,3,Jordbærvænget 37,Bagsværd,1,Centralvarme med én fyringsenhed,/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,175.0,2880.0,Fibercement herunder asbest,7.0,boligsiden,https://www.boligsiden.dk/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Mursten,198.5
jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Villa,Free Sale,08-02-2011,Fri handel,08-02-2011,3.425.000,3,Jordbærvænget 37,Bagsværd,1,Centralvarme med én fyringsenhed,/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,175.0,2880.0,Fibercement herunder asbest,7.0,boligsiden,https://www.boligsiden.dk/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Mursten,198.5
jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Villa,Free Sale,12-11-2000,Fri handel,12-11-2000,2.461.012,3,Jordbærvænget 37,Bagsværd,1,Centralvarme med én fyringsenhed,/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,175.0,2880.0,Fibercement herunder asbest,7.0,boligsiden,https://www.boligsiden.dk/adresse/jordbaervaenget-37-2880-bagsvaerd-01590372__37_______,Mursten,198.5
elmehusene-224-2600-glostrup-01650087_224_______,Rækkehus,Free Sale,30-04-2025,Fri handel,30-04-2025,2.950.000,3,Elmehusene 224,Glostrup,2,Fjernvarme/blokvarme,/adresse/elmehusene-224-2600-glostrup-01650087_224_______,96.0,2600.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/elmehusene-224-2600-glostrup-01650087_224_______,Betonelementer,98.25
elmehusene-224-2600-glostrup-01650087_224_______,Rækkehus,Free Sale,17-12-2019,Fri handel,17-12-2019,2.400.000,3,Elmehusene 224,Glostrup,2,Fjernvarme/blokvarme,/adresse/elmehusene-224-2600-glostrup-01650087_224_______,96.0,2600.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/elmehusene-224-2600-glostrup-01650087_224_______,Betonelementer,98.25
elmehusene-224-2600-glostrup-01650087_224_______,Rækkehus,Free Sale,24-01-2002,Fri handel,24-01-2002,1.125.000,3,Elmehusene 224,Glostrup,2,Fjernvarme/blokvarme,/adresse/elmehusene-224-2600-glostrup-01650087_224_______,96.0,2600.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/elmehusene-224-2600-glostrup-01650087_224_______,Betonelementer,98.25
oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,2.080.000,3,"Østervej 39, st. th.",Glostrup,1,Fjernvarme/blokvarme,/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,81.0,2600.0,Metal,3.0,boligsiden,https://www.boligsiden.dk/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Mursten,Ikke oplyst
oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Ejerlejlighed,Free Sale,24-05-2017,Fri handel,24-05-2017,1.695.000,3,"Østervej 39, st. th.",Glostrup,1,Fjernvarme/blokvarme,/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,81.0,2600.0,Metal,3.0,boligsiden,https://www.boligsiden.dk/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Mursten,Ikke oplyst
oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Ejerlejlighed,Free Sale,08-11-1999,Fri handel,08-11-1999,725.000,3,"Østervej 39, st. th.",Glostrup,1,Fjernvarme/blokvarme,/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,81.0,2600.0,Metal,3.0,boligsiden,https://www.boligsiden.dk/adresse/oestervej-39-0-th-2600-glostrup-01610552__39_st__th,Mursten,Ikke oplyst
