ID,Link,Address,Property Type,Sale Type,Sale Date,Price,Page Number,Is Auction
0aca32a8-8b72-4bdf-adaf-3b5970b9613a,/adresse/vejledalen-146a-2635-ishoej-01830854146a_______,,Rækkehus,Fri handel,11-04-2023,2.100.000,1,False
0aca32a8-8b72-4bdf-adaf-3b5970b9613a,/adresse/vejledalen-146a-2635-ishoej-01830854146a_______,,Rækkehus,Fri handel,02-12-2013,1.100.000,1,False
36f9d4ac-8719-433f-93b2-a7542bca542d,/adresse/elmehusene-188-2600-glostrup-01650087_188_______,,Rækkehus,Elmehusene 1882600 Glostrup,Fri handel,28-02-2025,1,False
36f9d4ac-8719-433f-93b2-a7542bca542d,/adresse/elmehusene-188-2600-glostrup-01650087_188_______,,Rækkehus,Fri handel,27-11-2014,1.675.000,1,False
36f9d4ac-8719-433f-93b2-a7542bca542d,/adresse/elmehusene-188-2600-glostrup-01650087_188_______,,Rækkehus,Fri handel,03-11-1995,648.000,1,False
0736a450-1f85-4ecc-a81a-0126ce510e97,/adresse/kagsaabrinken-9-2860-soeborg-01590384___9_______,,Rækkehus,Kagsåbrinken 92860 Søborg,Andet,28-02-2025,1,False
0736a450-1f85-4ecc-a81a-0126ce510e97,/adresse/kagsaabrinken-9-2860-soeborg-01590384___9_______,,Rækkehus,Fri handel,24-06-2020,3.310.000,1,False
0736a450-1f85-4ecc-a81a-0126ce510e97,/adresse/kagsaabrinken-9-2860-soeborg-01590384___9_______,,Rækkehus,Fri handel,17-02-2012,2.050.000,1,False
ad12035f-38e6-4f26-98c0-e9a09a141b9e,/adresse/hoeyrups-alle-28a-2900-hellerup-01570392_28a_______,,Rækkehus,Høyrups Alle 28A2900 Hellerup,Fri handel,24-02-2025,2,False
ad12035f-38e6-4f26-98c0-e9a09a141b9e,/adresse/hoeyrups-alle-28a-2900-hellerup-01570392_28a_______,,Rækkehus,Fri handel,05-07-1993,1.200.000,2,False
1ee5d7ad-3554-46e5-9551-3047cf41f8ae,/adresse/baunevej-91-2630-taastrup-01690324__91_______,,Rækkehus,Baunevej 912630 Taastrup,Fri handel,21-02-2025,2,False
1ee5d7ad-3554-46e5-9551-3047cf41f8ae,/adresse/baunevej-91-2630-taastrup-01690324__91_______,,Rækkehus,Fri handel,04-04-2014,1.595.000,2,False
1ee5d7ad-3554-46e5-9551-3047cf41f8ae,/adresse/baunevej-91-2630-taastrup-01690324__91_______,,Rækkehus,Fri handel,28-06-2005,1.725.000,2,False
adb73f80-4a10-4b55-b83a-d301f83a300d,/adresse/stengaardsvaenge-63-2800-kongens-lyngby-01590814__63_______,,Rækkehus,Stengårdsvænge 632800 Kongens Lyngby,Fri handel,20-02-2025,2,False
