Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
christiansdal-4-2610-roedovre-01750122___4_______,Christiansdal 4,2610,Villa,Tvangsauktion,29-11-2019,2884166.0,1,2
christiansdal-4-2610-roedovre-01750122___4_______,Christiansdal 4,2610,Villa,Fri handel,03-12-2007,3100000.0,2,2
krarupvej-23-2610-roedovre-01750474__23_______,Krarupvej 23,2610,Villa,Tvangsauktion,11-10-2019,4283500.0,1,3
krarupvej-23-2610-roedovre-01750474__23_______,Krarupvej 23,2610,Villa,Fri handel,16-03-2016,1400000.0,2,3
krarupvej-23-2610-roedovre-01750474__23_______,Krarupvej 23,2610,Villa,Fri handel,30-07-2007,2300000.0,3,3
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",2630,Ejerlejlighed,Tvangsauktion,24-09-2019,895000.0,1,3
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",2630,Ejerlejlighed,Tvangsauktion,03-11-2016,765000.0,2,3
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",2630,Ejerlejlighed,Fri handel,05-07-2010,605000.0,3,3
hedegraensen-40-2605-broendby-01530231__40_______,Hedegrænsen 40,2605,Villa,Tvangsauktion,06-03-2019,2724393.0,1,2
hedegraensen-40-2605-broendby-01530231__40_______,Hedegrænsen 40,2605,Villa,Fri handel,16-07-2007,2450000.0,2,2
skovbrynet-61-2880-bagsvaerd-01590757__61_______,Skovbrynet 61,2880,Villa,Tvangsauktion,18-02-2019,4423000.0,1,1
jernbane-alle-15b-2630-taastrup-01693546_15b_______,Jernbane Alle 15B,2630,Villa,Tvangsauktion,21-01-2019,2895000.0,1,3
jernbane-alle-15b-2630-taastrup-01693546_15b_______,Jernbane Alle 15B,2630,Villa,Tvangsauktion,21-01-2019,2895000.0,2,3
jernbane-alle-15b-2630-taastrup-01693546_15b_______,Jernbane Alle 15B,2630,Villa,Fri handel,09-03-2015,2430000.0,3,3
